,May_26,May_30,Jun_03,Jun_07,Jun_11,Jun_15,Jun_19,Jun_23,Jun_27,Jul_01,Jul_05,Jul_09,Jul_13,Jul_17
1,11,5,0,10,20,18,24,1,35,17,13,22,7,27
2,4,2,0,1,0,4,0,29,2,10,18,5,0,9
3,0,3,0,1,0,1,0,0,3,7,12,23,2,9
4,34,4,0,30,0,20,0,24,18,34,7,24,1,18
5,16,6,6,0,0,30,25,0,10,28,0,12,0,34
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,5,24,11,0,0,2,24,6,0,0,2,38,35,30
8,12,25,23,0,31,0,0,4,32,25,24,12,19,20
9,1,0,0,1,19,10,0,0,1,0,1,4,0,1
10,15,16,0,0,0,0,32,16,21,0,0,0,0,0
11,6,21,4,23,25,17,22,5,0,9,13,20,12,21
12,0,2,12,15,31,10,2,23,4,2,4,19,1,4
13,15,20,0,0,0,0,0,0,0,0,0,0,0,0
14,8,6,0,0,0,2,7,27,1,5,6,3,6,14
15,0,3,15,0,2,4,1,0,12,0,5,19,0,13
16,2,0,1,0,0,13,1,7,0,0,3,2,2,2
17,1,0,0,0,0,19,0,0,0,0,0,0,0,0
18,0,21,0,4,0,0,0,10,7,11,0,0,3,2
19,4,4,0,0,10,9,7,0,5,5,10,18,1,7
20,0,0,3,3,0,0,5,0,0,2,4,0,1,40
21,9,2,5,0,15,23,9,4,15,22,18,1,0,1
22,0,0,0,0,0,0,0,6,1,0,0,0,1,0
23,0,1,0,1,0,5,3,6,2,0,0,24,4,0
24,0,0,0,0,0,8,3,0,0,0,0,0,0,0
25,0,1,1,1,1,22,0,0,0,0,0,1,0,0
26,0,1,0,0,0,1,0,0,0,1,0,1,0,5
27,0,1,0,0,0,0,0,0,0,0,0,2,0,0
