,May_26,May_30,Jun_03,Jun_07,Jun_11,Jun_15,Jun_19,Jun_23,Jun_27,Jul_01,Jul_05,Jul_09,Jul_13,Jul_17
1,0,0,1,0,0,0,0,0,0,6,0,1,0,0
2,0,0,0,0,0,0,0,4,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,1,0,0,0,0,0,0,0,0,0,0,4,0,0
5,2,0,0,4,30,57,15,23,7,0,4,0,20,1
7,0,19,0,0,0,0,0,0,0,0,0,0,0,0
8,0,1,0,0,0,0,0,0,0,13,0,0,0,0
10,0,0,38,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,1,0,8,0,0,0,0,0,0,0
12,0,0,0,2,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,5,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,1,0,1,0,0,0,0
15,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16,2,0,0,0,0,1,0,0,0,0,0,0,0,0
17,0,2,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,3,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,2
20,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,3,0,0
