PointNum,Observer,Survey,Date,StartTime,EndTime,Temp.deg.F,Wind.Beau.Code,Sky.Beau.Code,NOBOnum,Angle,DistBin,int1,int2,int3,int4
2,Elina,1,4/27/2024,7:41:00 AM,7:53:00 AM,76,4,2,1,200,2,0,1,0,0
2,Elina,1,4/27/2024,7:41:00 AM,7:53:00 AM,76,4,2,2,56,1,0,1,1,1
4,Dave,1,4/27/2024,7:25:00 AM,7:37:00 AM,76,4,2,1,276,1,1,0,0,0
4,Dave,1,4/27/2024,7:25:00 AM,7:37:00 AM,76,4,2,2,29,1,1,1,0,0
5,Robert,1,4/27/2024,7:45:00 AM,7:57:00 AM,76,4,2,1,270,1,1,1,1,1
5,Robert,1,4/27/2024,7:45:00 AM,7:57:00 AM,76,4,2,2,270,3,1,1,1,1
5,Robert,1,4/27/2024,7:45:00 AM,7:57:00 AM,76,4,2,3,300,3,0,1,0,0
5,Robert,1,4/27/2024,7:45:00 AM,7:57:00 AM,76,4,2,4,45,3,0,1,1,0
5,Robert,1,4/27/2024,7:45:00 AM,7:57:00 AM,76,4,2,5,60,3,0,1,1,1
7,Dave,1,4/27/2024,6:57:00 AM,7:09:00 AM,76,3,2,1,140,2,1,1,1,1
7,Dave,1,4/27/2024,6:57:00 AM,7:09:00 AM,76,3,2,2,260,3,0,1,0,0
7,Dave,1,4/27/2024,6:57:00 AM,7:09:00 AM,76,3,2,3,70,2,0,0,0,1
9,Robert,1,4/27/2024,7:22:00 AM,7:34:00 AM,76,4,2,NA,NA,NA,NA,NA,NA,NA
10,Dave,1,4/27/2024,7:28:00 AM,7:40:00 AM,77,4,2,NA,NA,NA,NA,NA,NA,NA
1,Danial,1,4/28/2024,7:08:00 AM,7:20:00 AM,77,3,3,NA,NA,NA,NA,NA,NA,NA
3,Danial,1,4/28/2024,7:33:00 AM,7:45:00 AM,73,3,3,1,230,1,1,0,1,1
3,Danial,1,4/28/2024,7:33:00 AM,7:45:00 AM,73,3,3,2,340,1,1,1,1,0
3,Danial,1,4/28/2024,7:33:00 AM,7:45:00 AM,73,3,3,3,340,2,1,0,0,0
6,Elina,1,4/28/2024,6:53:00 AM,7:05:00 AM,73,4,2,1,130,2,1,1,0,1
