SiteID,Lat,Long,woody_prp,herb_prp,woody_mnParea,herb_mnParea,woody_ClmIdx,herb_ClmIdx,woody_lrgPInx,herb_lrgPInx,woody_AggInx,herb_AggInx,woody_EdgDens,herb_EdgDens,woody_Pdens,herb_Pdens,woody_IJI,herb_IJI,woody_COH,herb_COH,woody_DIV,herb_DIV,woody_SPLIT,herb_SPLIT,vegDens50m
1,27.6841619,-98.19934067,0.66344087,0.317027828,0.020735513,0.001658188,0.789422215,0.762512641,29.14934225,16.48624031,92.90722281,83.78616144,3146.493136,3431.664027,3198.259157,19133.87925,35.38322385,59.54942503,99.65084233,99.24827518,0.887085774,0.971058023,8.856279983,34.55188966,0.543558901
2,27.67880241,-98.20455871,0.537398109,0.444958618,0.010558498,0.0032863,0.824887338,0.805543516,10.9226555,40.50419794,91.90202896,89.2040123,2903.221017,3215.783652,5091.221323,13535.34903,24.78496803,56.94051703,99.10576234,99.82915938,0.972959094,0.835900802,36.98100907,6.093874995,0.647774141
3,27.67633311,-98.211107,0.582988479,0.409581885,0.010523692,0.00256433,0.817980218,0.814069836,34.02072876,32.80190095,92.41520058,89.01651504,2943.811734,3018.044501,5542.713286,15960.04495,24.353254,34.26452171,99.52324478,99.70158208,0.879666527,0.891735458,8.310239674,9.23663449,0.42398314
4,27.66979589,-98.19917294,0.623290089,0.341293924,0.014197234,0.001851721,0.798190485,0.772582539,34.76450191,26.75874725,92.40333988,85.01363468,3150.441584,3428.264521,4392.212989,18416.36348,46.82182977,66.38663873,99.60886974,99.64057806,0.875370135,0.928166747,8.02375901,13.92112923,0.526460198
5,27.66619621,-98.20960819,0.43500324,0.549659241,0.006106906,0.005162756,0.804320254,0.795412954,11.77007685,48.99663057,88.94801222,90.77967079,3208.829859,3394.152375,7126.361524,10640.05366,9.192597154,24.44777433,99.03028634,99.8541289,0.978083472,0.759822806,45.62766489,4.163592648,0.38230854
6,27.65620337,-98.20976824,0.691873002,0.284501925,0.030540689,0.001733176,0.834317435,0.80603892,29.97289768,16.04359532,94.88819592,86.1292725,2371.13777,2635.888345,2264.094358,16436.33527,25.35948948,42.18591906,99.77903354,99.26277861,0.820248306,0.973101117,5.5632299,37.17626509,0.567604631
7,27.65181089,-98.22267656,0.695240351,0.288573133,0.025779881,0.002467562,0.825619044,0.815990802,23.71474956,18.42765741,94.68690641,86.90773839,2460.264967,2535.128879,2697.129882,11691.68687,43.73931814,52.10880461,99.60957454,99.44365849,0.894903026,0.965303866,9.515021811,28.82165467,0.605249637
8,27.65494037,-98.20058889,0.705548368,0.240639321,0.017484626,0.001256701,0.800633439,0.750891194,37.33600579,12.41133567,94.12327627,81.090754,2773.564946,3039.585769,4033.430457,19171.16716,59.46105341,75.81775997,99.71969529,98.90525166,0.824562946,0.984330919,5.700050109,63.81995319,0.588001639
9,27.65165037,-98.20694415,0.767209635,0.190000894,0.052102437,0.000803614,0.772681271,0.725082444,38.27779646,1.351992357,94.70552654,77.73573154,2707.065353,2830.402272,1472.27338,23661.53647,49.93429114,60.63277079,99.87831601,95.37503245,0.728089625,0.999186984,3.677682403,1229.988481,0.622187522
10,27.64768284,-98.21142163,0.888422135,0.096888512,0.188956895,0.000374968,0.716402333,0.682988652,47.67672584,1.130403992,96.83373632,71.37252187,1868.789106,1858.953374,470.1356242,25857.45933,52.99314935,51.64138728,99.91997122,92.74934535,0.605484011,0.99965183,2.534751511,2872.160604,0.541947607
